lyric,occurence,pos
best,212,ADJ
looking,212,VG
much,212,DET
new,211,ADJ
damn,209,ADJ
waiting,208,VG
hot,206,ADJ
place,206,N
another,203,DET
walk,202,V
yo,202,
because,201,CNJ
fall,200,N
talk,200,V
low,199,ADJ
miss,198,V
beautiful,197,ADJ
going,197,VG
crazy,196,ADJ
fuck,195,V
hit,195,V
please,195,V
face,191,N
play,191,V
an,189,DET
sexy,189,ADJ
without,189,P
i'd,188,
song,188,N
made,187,VN
two,186,NUM
believe,184,V
did,183,V
fly,183,V
goes,183,VBZ
other,183,DET
enough,181,DET
what's,181,WH
wait,180,V
niggas,179,
side,178,N
fine,177,ADJ
ride,176,V
should,176,MOD
same,174,DET
left,173,VN
change,172,N
mine,172,PRO
remember,172,V
throw,172,V
something,171,PRO
done,170,VN
we'll,170,PRO
first,169,NUM
dat,168,
lie,168,V
young,168,ADJ
bed,167,N
wrong,165,ADJ
nobody,164,PRO
-,163,P
forever,163,ADV
his,163,PRO
till,162,CNJ
bum,160,N
mean,160,V
u,160,PRO
boom,159,N
hate,159,V
light,159,N
makes,158,VBZ
might,157,MOD
high,156,ADJ
used,156,VN
bring,155,V
thought,154,VD
fight,153,N
alright,151,
start,151,V
cold,150,ADJ
game,149,N
help,148,V
own,148,ADJ
somebody,147,PRO
fire,146,N
tryin',146,
yes,146,ADV
alone,145,ADV
feeling,145,N
found,145,VN
inside,145,P
myself,143,PRO
pop,143,N
sweet,143,ADJ
didn't,142,V
while,142,CNJ
sky,141,N
die,140,V
ha,140,UH
he's,140,PRO
him,140,PRO
hope,140,N
knows,139,VBZ
pretty,139,DET
until,138,CNJ
friends,137,N
close,136,ADV
maybe,136,ADV
care,135,N
stand,135,V
together,134,ADV
top,134,N
seen,133,VN
hand,132,N
roll,132,V
you've,132,PRO
late,131,ADJ
lost,131,VN
cry,130,N
ready,130,ADJ
chorus,128,N
shine,128,N
those,127,DET
came,126,VD
dream,126,N
forget,126,V
goin',126,VG
black,125,ADJ
rain,125,N
lose,123,V
people,123,N
ahead,122,ADV
knew,122,VD
god,121,N
road,121,N
whoa,120,
air,119,N
else,119,ADV
far,119,ADV
front,119,N
smile,118,N
along,117,P
city,117,N
drop,117,V
getting,117,VG
catch,116,V
2,114,NUM
comes,114,VBZ
TRUE,114,ADJ
next,113,DET
red,113,ADJ
whole,113,ADJ
dirty,112,ADJ
wanted,112,VD
coming,111,VG
couldn't,110,MOD
heard,110,VD
hell,110,N
sound,110,N
step,110,N
drive,109,N
lil,109,
already,108,ADV
drink,108,N
has,108,V
matter,107,N
must,107,MOD
old,107,ADJ
sleep,107,N
y'all,107,PRO
okay,106,ADJ
sun,106,N
oooh,105,
open,105,ADJ
sure,105,ADJ
car,104,N
goodbye,104,UH
music,104,N
star,104,N
wake,104,V
aah,103,
huh,103,UH
bottoms,102,N
gave,102,VD
round,102,ADJ
trying,102,VG
lips,101,N
ey,100,
understand,100,V
blow,99,N
full,99,ADJ
lookin',99,
moment,99,N
bitches,98,
deep,98,ADJ
lean,98,V
set,98,VN
sometimes,98,ADV
swear,98,V
verse,98,N
guess,97,V
moves,97,VBZ
pull,97,V
bet,96,V
eh,95,UH
feels,95,VBZ
pay,95,V
slow,95,ADJ
diamonds,94,N
gettin',94,VG
three,94,NUM
anything,93,PRO
dollar,93,N
someone,93,PRO
times,93,N
town,93,N
end,92,N
feelin',92,
lot,92,N
sing,92,V
soulja,92,
you'd,92,PRO
after,91,P
i'ma,91,
lady,91,N
meet,91,V
alive,90,ADJ
boys,90,N
mad,90,ADJ
pain,90,N
ridin',90,
stuck,90,VN
dark,89,ADJ
door,89,N
phone,88,N
says,88,VBZ
woah,88,
hair,87,N
ladies,87,N
loved,87,VD
today,87,N
under,87,P
met,86,VD
ohh,86,
words,86,N
they're,85,PRO
chick,84,N
crank,84,N
kind,84,N
mama,84,
their,84,PRO
aye,83,ADV
ball,83,N
broke,83,VD
falling,83,VG
check,82,N
free,82,ADJ
lay,82,VD
once,82,ADV
started,82,VD
ask,81,V
days,81,N
different,81,ADJ
friend,81,N
listen,81,V
lonely,81,ADJ
loving,81,VG
yourself,81,PRO
arms,80,N
bang,80,V
im,80,
nothin',80,PRO
doing,79,VG
stars,79,N
thinkin',79,
white,79,ADJ
ah,78,UH
bout,78,N
saying,78,VG
bay,77,N
blame,77,V
dj,77,
does,77,V
hood,77,N
jeans,77,
running,77,VG
took,77,VD
bright,76,ADJ
chance,76,N
womanizer,76,
burn,75,V
dancing,75,VG
doesn't,75,V
many,75,DET
n,75,N
radio,75,N
though,75,CNJ
whatever,75,WH
woman,75,N
worry,75,V
boss,74,N
both,74,DET
cool,74,ADJ
fast,74,ADV
hurt,74,V
making,74,VG
soul,74,N
wonder,74,V
act,73,N
bottom,73,N
house,73,N
room,73,N
save,73,V
seems,73,VBZ
wouldn't,73,MOD
yea,73,ADV
doin',72,VG
halo,72,N
piece,72,N
talkin',72,VG
thinking,72,VG
yellow,72,ADJ
lolli,71,
trouble,71,N
tryna,71,
went,71,VD
babe,70,
its,70,PRO
smack,70,V
any,69,DET
hips,69,N
ring,69,N
'round,68,ADV
booty,68,N
fallin',68,
most,68,DET
shorty,68,
sick,68,ADJ
spot,68,N
carry,67,V
caught,67,VD
ground,67,N
locked,67,VN
sex,67,N
standing,67,VG
truth,67,N
between,66,P
gold,66,N
hoes,66,N
second,66,NUM
somethin',66,PRO
cuz,65,
rockin',65,
be-dum,64,
belong,64,V
buy,64,V
chain,64,N
cup,64,N
daddy,64,
everyone,64,PRO
fuckin',64,
mayne,64,
wild,64,ADJ
bar,63,N
everywhere,63,ADV
felt,63,VD
loud,63,ADJ
may,63,MOD
probably,63,ADV
rumour,63,
bottles,62,N
clothes,62,N
fell,62,VD
grab,62,V
hide,62,V
keeps,62,VBZ
talking,62,VG
afraid,61,ADJ
blue,61,ADJ
couple,61,N
cut,61,V
diamond,61,N
easy,61,ADJ
part,61,N
since,61,CNJ
sorry,61,ADJ
trust,61,V
breath,60,N
broken,60,VN
fix,60,V
honey,60,N
kinda,60,DET
million,60,NUM
morning,60,N
mum,60,ADJ
reason,60,N
saw,60,VD
spend,60,V
treat,60,V
tried,60,VD
we've,60,PRO
wee-ooh-wee-ooh-wee,60,
anymore,59,ADV
dead,59,ADJ
drunk,59,ADJ
number,59,N
perfect,59,ADJ
push,59,V
wit',59,
half,58,DET
hatin',58,
magic,58,ADJ
meant,58,VD
poppin',58,
singing,58,VG
tears,58,N
yours,58,PRO
'til,57,
control,57,N
fun,57,N
livin',57,
type,57,N
wayne,57,
wind,57,N
word,57,N
born,56,VN
em,56,PRO
escape,56,V
gets,56,VBZ
ho,56,
outta,56,
stupid,56,ADJ
taste,56,N
closer,55,ADV
hoe,55,
i'mma,55,
line,55,N
london,55,
playing,55,VG
safe,55,ADJ
shut,55,VN
straight,55,ADJ
tomorrow,55,N
bass,54,N
ice,54,N
rompe,54,
summer,54,N
years,54,N
bit,53,N
breathe,53,V
fill,53,V
lucky,53,ADJ
mouth,53,N
scream,53,N
wherever,53,WH
pocket,52,N
wants,52,VBZ
whistle,52,N
behind,51,P
damaged,51,VD
dem,51,
eye,51,N
kick,51,N
king,51,N
lovin',51,
scene,51,N
somewhere,51,ADV
write,51,V
burning,50,VG
drank,50,VD
middle,50,ADJ
moving,50,VG
nights,50,N
promise,50,N
rollin',50,
single,50,DET
thang,50,
tight,50,ADJ
